J,V,H,I,A
j,22,10.42620082684489,97,0.9027928023468634
q,39,50.84497126861045,90,13.958325201619825
x,22,85.4711720950747,43,16.32075495511368
s,34,61.83884300726747,41,7.443671546659115
t,52,12.376325743951922,90,2.424508860691099
x,38,25.408916846877048,93,39.24954566827695
j,67,77.25875731728297,31,71.30824864826928
w,61,15.792603251174974,82,6.731018097121789
s,60,73.93918124640308,93,61.72705173081413
z,82,26.02493896572674,51,40.17532510454044
j,91,69.46798089210671,36,97.53857159372379
b,57,13.884323373466835,5,9.687988702127647
x,10,11.418884588475908,45,99.71746947685608
u,86,6.21701800612472,94,75.16717832161247
v,44,6.428189195390743,5,87.77789598892089
m,14,76.18748427155447,48,91.32019230182605
d,17,50.67160846935749,85,62.60405257749918
k,29,89.30912635241276,95,47.11405161869049
b,79,22.577555588516873,25,27.643980630308086
h,28,24.00277785502084,8,24.386175511642673
z,82,68.13715971819201,35,77.22088559067839
a,76,67.42529653319272,12,68.87514377636563
l,52,16.352850488331928,41,1.3059805797176582
a,17,26.263400748198173,18,27.542564267248547
q,94,78.0367295390722,62,81.52075503045039
p,42,11.8350991096138,77,19.82157056108136
l,25,85.85503160427677,31,35.333973503898605
s,90,10.230916539846701,24,98.33382809044059
v,66,15.702931784135533,21,83.49711149003917
p,96,42.977674986980674,5,70.71904823516162
b,100,83.08622117954786,80,14.684117276118824
u,57,28.949992527549504,67,96.63979331548053
m,95,92.51437885660602,81,65.56736027395196
m,76,64.06610186416036,21,79.14215118741508
t,62,86.26398811526924,57,93.69858610932843
d,75,18.049787665260375,25,9.257038475932887
n,37,73.4654942668891,61,25.912797390658838
w,12,22.254927844340777,41,78.63669585523213
f,80,65.84623380530766,93,55.29486937941432
m,40,90.00100541451805,46,34.88527221219132
v,88,81.53455686353202,29,60.676859908800175
j,73,65.88873006587978,9,37.65756075541835
s,31,6.592434783669909,95,69.78907604615353
m,93,10.525502185616375,1,14.477387897174554
k,59,83.27987140009436,3,17.440449126836555
l,28,22.61027496094583,53,41.11235633075504
x,22,76.69575796179035,56,87.94534729128898
l,16,60.06887378489658,76,97.67046521641328
j,54,24.603935085722306,17,36.593528623883884
y,50,24.81082274018769,59,61.018382424035025
i,77,86.9658872582605,81,69.38580917734976
w,75,97.9253595656925,36,79.28005128486546
g,53,27.356868328375704,75,67.67372545458272
z,32,17.909675342783903,59,3.8380609330338045
t,41,15.939886848518615,21,39.46427144390626
c,85,63.48021042287254,29,53.923521386298724
p,96,98.17922676290893,43,24.12289219593723
h,42,28.573257030178457,34,76.20019717315373
q,12,54.89017627539759,9,47.514545741930505
q,70,37.23086418561714,21,66.09476605536008
x,30,48.56475113318932,56,87.97806157390792
l,32,8.246306864162333,48,60.460419544599084
k,77,78.82468477461254,41,10.004734176271057
h,14,91.43617207117492,81,77.45335115607537
a,87,38.58164211058025,41,60.176443735595086
b,11,90.0964472189551,89,24.26034245859705
s,20,1.3189694544018304,2,40.01078187823951
e,95,49.954032696287484,77,87.22111813820335
g,1,90.83391831655193,1,56.48192759921137
n,36,69.98544283762554,6,0.5228743339193098
g,89,71.20245181967907,51,18.750363838225294
f,74,37.42260579493423,91,16.15866792089985
y,67,14.714370028232281,86,28.820845968611653
c,25,5.845731084515449,82,65.30800720568708
c,13,96.51119670702406,22,7.679310618852164
b,16,59.85326436429336,84,79.84461150442212
c,12,58.91312160711676,13,86.6125153970088
z,5,76.7567355766227,56,1.5696285280250577
m,13,99.65783831471938,56,12.232901252284522
k,69,68.11525374618648,83,70.74005213512237
l,61,65.21466619178919,30,20.4946339246998
x,56,94.68432426668471,48,20.192354846223758
j,10,41.06254053698877,53,78.36675950498788
a,10,40.73328290471942,62,82.25319692895138
z,76,10.42854813562819,54,89.86454079930654
c,62,72.48120197144776,9,11.507776323157415
k,62,39.8314094406395,39,25.84359449070943
x,67,65.74152052275626,62,37.975293850895206
t,49,2.032977876610398,41,83.17622717998893
g,11,34.11730042375747,89,90.45600956025137
n,55,8.578206615738848,56,94.25062842726882
p,60,51.75959375357099,64,99.85709008415388
e,2,48.35740727416231,72,94.23172141337365
m,85,15.062967687230566,63,13.138905975202553
y,58,65.62620715063068,23,75.02284698101901
z,94,1.0949148653361829,37,17.557779759611492
a,74,10.859918867967922,44,99.19558927668369
s,12,57.730595362305614,52,55.67824363188404
u,27,0.6384906572458715,86,38.2716627883467
q,29,31.633133744729356,22,94.44450433002388
n,11,66.6652656985525,17,30.753054877809205
s,78,43.00214061657671,97,10.382037457364191
y,52,40.1805656078298,89,10.79036117302371
a,80,7.173833329640534,32,91.30508308727953
t,16,5.824591273785518,76,53.991713929617724
r,82,96.28878014321643,38,54.33773611938467
i,38,88.04335066756293,93,25.320552781737536
k,48,95.16679906143499,93,15.680905856098203
k,38,15.850748272966008,1,59.79618575162458
y,17,40.87505126488572,46,89.83630010430772
r,50,59.758089518001334,68,66.31809280587362
o,26,1.4676937031785409,91,80.74723746617674
h,64,22.37843670306735,32,12.053316055096486
e,4,82.90175728269485,68,82.799841910746
w,50,30.78831621658106,82,40.46732261130961
r,68,41.76079816063947,25,65.80468856368847
a,14,41.448035793636485,82,5.463818857328706
y,64,41.425831611474415,92,59.35699816338887
j,93,10.479989224058983,53,28.92162020950235
n,53,50.06390492111908,60,22.116305865862117
x,10,51.07578045067073,88,80.14592529285042
d,8,81.0407115168832,75,59.84253362735685
e,90,11.89441943663182,92,26.946322179345895
l,11,67.0061112068205,98,89.5787433608249
n,5,81.23138072383166,97,20.00852249951598
f,48,5.931996573701815,39,16.18633903554504
g,93,86.67997048504454,56,76.00250427720778
d,92,68.61449003393972,0,72.47592857482347
m,31,35.24823911884063,73,85.25491012991407
b,8,21.645926730195796,73,99.43388393662678
t,98,98.05366759608599,17,96.19755064607858
y,59,0.6623333454527591,24,10.098704696892103
o,28,26.66875840982399,91,64.45132514793461
r,32,53.18044338833033,40,8.205818147203626
j,99,98.87570870925225,40,76.30656583636386
q,78,74.29124688249469,33,18.864692614644074
c,33,28.205251514540166,57,27.57813167826194
z,56,70.77014555732967,62,47.81818628591441
b,25,81.51468495587959,84,70.33605399472277
p,16,0.28457607415318664,57,35.52757122633506
n,7,20.926188741771444,48,38.13648215573324
o,69,49.436700152395,43,5.4885910024707325
v,27,22.460691235149877,67,74.43437747876683
c,90,87.08318137078894,91,80.27592836838599
t,94,57.15094978294447,55,41.008890825677256
c,0,34.101885902902694,32,7.877945965319199
b,1,56.04727019278752,89,15.00179539710178
p,39,12.691966169280267,13,83.312643865291
p,11,6.657465888334757,26,81.71825597203875
m,28,43.85047317381433,65,70.71466521858338
d,9,85.17401687858407,55,48.7012321795096
c,40,5.257248644905344,69,58.63252824333798
o,0,17.55719166129954,36,75.90982091395433
r,61,36.209335033926415,7,2.979185878336066
s,3,41.26097853700653,23,82.25238704342264
u,80,44.26254574104358,97,53.830038796877346
u,87,98.30759560075929,22,17.95846087113384
s,58,92.02967690478742,89,32.014835153429765
x,70,82.88378607354423,89,35.272376090308185
z,94,54.36702277209295,15,51.879032335060884
l,94,97.55496467147802,20,94.5171183725279
b,69,43.199757744125165,99,23.141413820053856
u,32,67.13343834438031,46,26.732289745972636
h,82,46.070055955110725,40,95.17791358464902
d,58,26.99507046072087,45,41.34520314332971
y,66,21.051825195706442,15,47.62094273092159
g,60,90.09728613639686,54,23.1018637001392
x,55,71.92223399966284,38,41.42769138083289
e,71,2.191444858119751,65,38.0909363931375
u,40,69.84759008681114,17,86.19460298666365
t,14,50.22277652996716,94,35.53411032647642
x,23,48.00718874216088,80,19.276721886550785
c,23,58.237859240932124,56,7.1719559714943255
f,10,60.703406241429704,32,89.9302018087923
j,39,3.520278151824019,48,12.934853391454181
w,35,4.981149690129872,60,12.806925363975363
m,53,33.68792198435959,94,7.843171807310856
z,76,75.20203409676873,83,71.5087634375055
k,83,4.586462857706519,60,57.463275744844566
o,92,96.5647201691371,31,89.80168477639
q,12,8.88610334531097,15,66.14325092223366
a,81,95.77643286747053,15,18.178991481855565
z,100,68.34938844310582,61,12.170797456121784
q,20,92.01184022519597,78,28.016959461708634
m,52,13.273133997280295,33,89.63862945232228
i,2,27.777369244320905,88,16.34340191551289
r,16,89.14256303353412,34,46.29153779783193
c,90,33.16463207699929,70,64.92227380872627
l,9,75.3180243837081,74,22.26206514713629
f,98,29.731062792460495,80,42.84009449848525
j,86,52.89710768680166,98,76.3343815947957
o,74,1.8246393083099721,6,40.07619027256276
f,88,36.76800683644937,1,81.49692711267397
a,18,91.86917537235738,86,37.58710304217345
y,100,90.44823887207559,40,68.28779595383095
p,47,51.21004013587147,54,72.84213237219946
i,21,54.237043208812274,8,67.67273522612881
l,80,82.90892632340105,5,47.50171119619536
i,44,12.767191282944168,95,22.87671307958956
q,60,47.5976926442549,99,35.70359497498586
y,45,84.01985092709499,39,41.448155108475646
z,86,33.7149688834714,86,55.88867542058501
c,9,81.53891306800165,60,37.1605351367165
w,27,90.82411067324088,44,69.71691261192933
x,8,18.320643209190923,90,69.41399989992553
k,27,9.609519692733159,61,63.60114181823449
z,80,41.33919714989732,84,24.126694973159392
s,10,8.052528677982052,76,85.2333923210345
r,46,73.4606278811815,25,67.38451978672938
m,69,51.180454679814744,94,58.48352716234951
p,31,74.58277591017757,58,68.02371280707983
c,12,38.236081432801626,72,22.404257695077767
k,71,83.55176689530633,71,91.55053739793065
e,56,81.63733569732831,6,61.953917827659524
o,23,51.19153605246645,6,89.83538691727104
p,16,78.00556274565527,5,93.78360842931419
v,22,68.97452002511908,4,56.99258014599988
l,14,5.83477792330439,99,85.46263750535638
s,56,63.55134993482277,34,29.235723534028914
n,46,40.099700715030764,43,12.425128507738748
r,28,67.67779495772295,64,68.5868325153731
f,31,63.230300841069074,0,51.037441747901305
r,21,75.91530215266786,70,57.28554160136634
k,98,28.408373577671707,47,94.75809932635218
x,73,44.72722337328891,88,82.85518005184514
c,34,15.94282846169629,88,21.19589900077179
k,18,17.91180263930192,49,73.37797164241532
l,100,74.95563207171602,64,15.632031717516314
s,91,22.839195502804756,81,48.59437876379356
s,37,85.8776504337155,58,59.124502764339105
o,73,41.98000396407057,44,50.07394834091189
i,10,81.81381027660683,2,17.409535611529638
e,82,93.52631613430398,59,12.66028634666002
l,5,63.572581308477126,55,46.47998526864203
u,24,83.99313010055394,55,88.16970650359521
l,80,78.76116293378769,45,68.4518993197623
n,67,24.201649250727918,36,25.275810500725527
d,86,22.641983272960175,58,53.350390406245296
f,89,36.40000446674735,93,40.08441145955627
r,67,66.10240461252468,75,63.85097403669033
j,18,98.25108568314005,15,30.01118742072304
g,68,0.8779143193760164,80,13.350133905726436
i,16,53.374759533842195,90,58.701784438360406
g,93,30.705587552757862,12,70.37275388491663
s,50,66.05122713808784,19,40.46826879208415
l,53,6.424742290633456,6,96.9991375774841
r,39,2.2864621211553637,84,53.917350639739425
a,98,24.5195461931476,15,63.7052288945509
h,58,47.22857061769171,53,61.14931208669473
u,35,83.78074855416743,94,38.311402844834944
n,63,66.67551687811047,46,36.81331089727075
v,17,19.673166874331805,27,30.066559066133426
i,37,99.26638094812628,95,39.08151003204462
c,30,75.2459934114968,93,97.86919616339651
l,3,44.747460834373896,91,44.77334308545691
o,13,65.46053898226361,56,83.53928222603257
z,74,34.855379434576264,88,35.71552164029157
k,86,10.26929033195849,89,15.85977061170385
c,29,88.38245587032296,18,17.420837901095474
s,98,65.1153310141566,81,84.36157141790109
w,7,17.2695751609112,51,39.999685091768164
j,5,37.625915594664114,3,6.996535428485684
t,25,77.80972878888946,43,85.81969444285579
m,80,77.46353396171513,75,91.86467193324633
w,85,43.570498815046136,40,87.94269859127505
d,48,83.40261999025921,40,98.88020327781467
x,2,91.11749023856048,79,38.34088070654321
t,17,90.86069167269703,42,72.52986710032724
o,20,20.066295739812865,62,92.51705661920182
m,57,20.280049648657585,82,50.17013059336806
a,86,2.0699252906203003,48,72.27674472181995
r,21,52.228528137813036,74,44.47268904230013
h,68,82.76130802437966,83,95.94343105967538
u,23,7.240309671366241,42,95.49055353589367
v,56,50.0583814885768,100,36.62245119304408
n,2,71.05574590430545,91,20.45066899733019
a,61,97.68862439779494,51,28.29046968703842
e,63,43.55461704717606,17,72.9523725294902
z,47,30.207781483209672,89,20.015533712973788
e,48,83.05253563011007,94,16.77419368053119
l,40,49.66216475668228,53,86.68096288387224
r,15,50.061755904238915,73,1.5487071093260196
y,32,68.76152274289402,37,27.87289485640909
l,35,31.835944218715717,57,60.874813944732175
a,14,96.50713809072356,67,4.724268712670399
a,28,55.64748524648691,38,33.77036291654729
b,15,70.48426085742572,61,87.43736461874781
p,6,43.33011815114853,72,49.91805807391513
s,16,21.758726181125255,24,64.57842802406095
q,40,91.5453152016985,23,89.2811202698401
s,0,47.935539231051706,13,27.446456321056157
i,77,51.95282597762362,96,57.84362436737529
m,10,37.50818305316776,28,89.8827704630392
g,82,10.597024161477398,85,25.59208599062355
m,82,65.85982080019157,100,44.83128821741877
v,54,21.22390185407467,58,64.13255377147159
e,40,67.21863057775575,100,52.203513454289144
b,19,25.525997542477498,18,21.630866529980043
f,55,71.61678260792723,23,73.81872240846363
w,42,12.08130813400431,48,65.17074144798582
b,29,63.93648709214783,34,86.69386085310526
t,43,97.82731941867236,68,97.76182643212069
j,66,43.569527185382874,36,75.79247270734346
g,96,42.30263922410234,7,76.26369923729182
y,82,49.92038619312916,73,92.30097071393216
x,64,99.32723631159656,60,32.42607111721982
c,15,74.73314584041883,24,47.478636028639045
j,71,52.596625482952376,76,92.13797396224692
p,59,87.04812983388172,99,17.21337864036926
q,26,77.80149805529119,69,34.17112035237061
y,58,45.03892278763605,20,7.093775004227931
r,39,48.37578638552088,15,88.91881351953032
p,21,39.14777876512626,84,58.41850616174399
g,12,79.0854709217209,88,43.76750620029591
x,28,43.72988568829549,69,12.63840170370909
y,72,82.84975756980005,83,21.77968852285197
e,97,91.24337111999843,8,28.305518907052996
g,34,21.792548387869047,59,41.11418742084803
b,6,62.21580599846273,74,75.39732226433415
w,71,52.69056889174737,29,61.02080726535425
p,28,49.454228671141976,44,11.064071229650718
u,99,52.377962902383544,4,29.480629124789893
c,81,66.91982783472237,42,44.39478767456732
p,60,84.1762715614911,83,29.988374348977487
x,64,34.498498129524855,80,78.83811608803188
a,53,93.56319450993465,53,70.85013419614631
x,72,98.74006024874564,11,25.06917758079801
l,74,87.17510260134497,62,32.879154484495054
c,81,0.5398874010469457,97,98.17169638666472
m,75,5.391105143043773,70,47.98885205683874
x,87,83.57635799138183,46,58.473026702552
i,22,49.06766816538868,86,40.38740123806982
c,69,74.62378184523462,90,17.13536808444035
x,95,73.07330779575446,47,60.71392971106198
g,68,57.260684326825654,30,40.27808965084193
o,33,17.75869471326905,41,23.34716047055856
x,32,67.84565046023523,13,77.61306429181542
r,19,34.17400019022239,51,51.17661036845348
b,45,75.80472040308126,94,31.585576654716398
s,26,35.148361471156385,7,45.598566883575586
r,65,35.32145022187483,99,77.46303716166315
b,0,30.91026151332511,21,73.0709200510087
m,71,12.947247725967149,84,21.239202417732272
d,71,18.0502767495332,21,48.37086994749337
y,43,33.57015014948386,74,48.12688465553211
k,87,53.85484646095377,92,28.996498842674413
h,53,36.728493247374836,67,8.194478313505915
w,40,1.1534391400281008,40,54.57453256955386
b,35,36.928437364132826,62,81.02591176236957
l,82,26.25842972239898,38,54.06313871709516
q,55,26.417305384417723,64,80.29946069207563
q,78,27.268950926202894,38,7.5618864906406795
a,28,29.071072845827572,21,34.81713469004656
l,15,91.66245695711336,62,48.02730193939683
z,100,99.45302660687973,7,1.8889425150751094
n,16,66.10381810898016,26,7.521921363389172
z,18,3.507457269912917,39,18.0371389415379
c,19,97.79481523754379,94,60.44056740694228
e,91,50.76766005363529,79,9.937656879334423
f,34,83.13897387662716,55,89.70859458179883
y,6,61.714989017276146,25,75.33533425020568
y,87,21.360096891386526,1,82.85616597436554
k,70,10.42831358806222,54,93.97258527625453
g,36,22.710031968607957,60,75.21131183163801
w,27,80.85207657262937,7,9.522656706766552
l,51,18.7374926043674,91,64.51025228437707
x,7,59.78981231196524,13,95.3223926826936
z,65,54.456301485575494,13,62.83564705520354
p,80,64.02754146738025,48,35.01983814212274
b,69,91.11365703313372,81,3.889553120011857
l,50,4.70628053018729,94,68.69109132177437
l,57,41.027770540423624,17,42.99600824628269
e,19,2.5032113515776278,46,89.45259483324355
m,96,38.899522060147184,57,78.50062156438342
y,43,15.554756195095987,0,41.99805534618154
u,1,56.674328013453405,51,84.36541239214348
y,79,51.58909110694084,57,92.75135088355232
l,66,89.14368060282307,20,98.37349694087456
h,12,96.49510345380136,30,14.371460504234069
v,94,1.7994605523493745,49,49.31149171802953
w,50,2.2358129293599482,94,24.577814681512223
z,49,7.924335891745438,13,0.18650186164423932
x,83,70.29037630450841,31,55.57773928825971
i,40,40.07941595625479,98,69.44663510126912
e,12,82.0839708904762,28,32.31400859114733
b,32,99.9954757247199,87,14.447714946815182
w,15,74.79802678577722,65,8.697254598364502
v,85,27.019465536980935,83,15.602363093861726
r,88,86.2047018325015,6,42.381160208577086
r,62,43.54250360330697,66,84.19202955220909
a,74,45.32903805061357,74,79.40015493073787
i,24,10.992873801253866,48,85.90427970978344
i,12,44.738220088828605,66,10.840724871746211
u,2,85.11719711946863,45,51.633196943515195
t,98,91.58463870254778,29,82.68853201987167
p,79,91.19760218705099,5,77.5771577504554
g,6,28.619742448934637,64,59.104101869993244
c,28,12.516973672037901,90,65.0571481359133
r,79,23.48132717503828,59,70.29827693574305
j,71,31.013919916690636,5,78.77764895799298
o,37,53.389888733577706,15,67.09808399198486
h,7,17.25069190931209,40,78.47536619079317
b,98,15.290665298565198,35,57.4600601249246
e,0,0.13050865258472655,69,70.09085142689639
o,45,51.51524075481184,38,37.240468439840015
j,91,82.90383302823355,65,66.67895145930837
u,1,78.50666224940055,6,56.096678762941785
y,99,89.54752553360227,69,92.21929560097001
a,36,70.32660756873594,92,9.680381857209463
s,36,39.64846293014064,85,85.37084066659548
t,51,83.41726835094963,74,40.54040688817962
b,34,32.57059592962243,31,88.1180788260251
s,14,54.223257219973235,76,9.292645729823034
a,27,80.14200617367955,44,78.87022680181083
p,48,23.35721587919596,52,70.11466991392629
c,1,13.847500158266735,68,24.8928370776451
b,2,16.245681822403355,41,26.23909250776003
y,89,24.932206724923923,85,96.99625642305682
g,42,18.854837480413444,54,19.904886082192476
x,28,59.60353177518196,71,25.084889042869317
c,58,40.55184025904304,28,2.5027116002349414
q,50,50.62575288290551,13,87.59785893476759
j,19,19.79085144299034,94,65.58515258182926
q,24,36.39884530896328,94,65.86222369854673
i,72,59.33255710477451,61,18.42696316180248
y,98,21.44484580524153,19,32.74408467496532
k,73,39.563436918235126,32,13.069970962078514
f,7,13.380618634914976,71,31.025973027854636
b,17,9.23812373752213,13,36.33430667132729
m,24,82.62993931799491,30,45.99917819408484
c,1,65.9406076562383,22,64.13914734694193
t,82,81.8968514653334,10,10.151086887593463
g,65,1.563887348205495,95,52.33397845099912
m,7,47.43004557645304,68,81.6887028009323
t,51,75.79420211189745,6,51.66269627575852
j,36,1.603537356249829,42,14.951189748744175
r,71,92.06699013126274,32,14.041107371796501
n,60,82.66384991153551,67,77.9864901760571
f,9,43.24392097579975,56,73.61022562918839
v,67,96.22801520510833,31,71.8468220813527
t,48,99.16507433128031,58,33.52853241809377
c,45,14.551380670827696,94,99.08859353436266
y,18,39.785286012776844,85,76.14632371791292
e,27,2.2112711201717428,7,49.70489610271132
z,56,19.92044442239682,84,75.19108464174423
v,6,51.17724831141861,46,2.8661434414479325
k,86,91.25899574779203,31,28.042733780685936
z,90,77.08816532754376,57,27.697502051251988
a,13,73.96532897487357,68,32.02700049840811
b,42,34.90217632793503,80,55.63406230564222
m,45,89.25804775174501,74,57.113940809741734
x,97,42.614005418286716,90,28.11819180290458
w,90,9.91262229830111,46,55.43870364372737
u,76,50.67043235569639,21,23.7457779968252
p,26,9.456535437678337,98,64.33996394830945
l,2,71.79669815599036,76,74.11684584406484
r,78,50.59395399154375,100,34.45219380591426
b,48,21.16451196854975,12,26.879818579788584
j,23,7.359857116783619,58,16.48569595857836
a,53,55.24590674516217,80,90.0596436281925
j,51,91.17110950306123,41,88.25706212995617
v,22,6.3195561524928445,54,5.906459976116841
f,0,14.815619183823081,62,73.0910106520135
d,3,40.478944209058994,80,81.44395329578994
p,29,23.431003103764493,75,20.562508831486358
h,85,36.77745273505483,16,25.08999088528343
x,12,18.55386508125868,71,25.974802527105425
d,91,38.99623791799031,34,27.851640056901562
k,47,44.91858039838682,16,44.2239995185
y,70,62.461037233458896,32,43.018824088657205
f,72,20.422865884246445,1,89.11328835661043
a,35,88.99405432537156,4,76.8002624747637
u,96,9.682325403638625,56,21.904186334173804
o,6,45.34426258237514,95,87.2594930813717
e,74,32.30250643072263,57,1.5027411596918783
c,92,1.8056199479463353,80,74.8410759531878
s,52,76.93543863640512,87,16.714881095963264
r,77,93.38267850556589,89,84.36019928165217
d,30,45.95499649917697,13,40.01037852326219
x,35,34.74909592357722,94,71.90188658041913
g,53,26.967290791545985,3,7.384492391474096
z,18,98.54501114504825,48,42.75147036286274
k,38,97.12716294229546,94,79.1809338526639
f,36,61.51222810413244,91,64.29354968473396
w,37,69.37529375848243,15,35.161321351336625
v,87,8.244346013847048,26,2.7156851331161524
d,76,42.94284784354677,39,34.4132292334131
j,65,59.12576059794511,98,92.16047521804846
f,6,17.460178505522205,14,45.33617499411305
b,96,71.76638872860866,35,55.69529358528151
r,8,92.3544170908078,55,88.95270833773036
u,19,6.631320827356957,92,81.70012002912496
f,97,44.00035814666141,30,96.28371872866478
p,34,61.00282376224507,29,78.42342597820291
n,97,23.770958808767617,54,13.195497692023617
j,73,39.03452254775394,11,29.76676186513192
v,60,85.24912965511459,78,51.58338259666113
m,14,18.725393340868955,74,90.95840961535858
q,35,34.21118069062394,75,42.95902543548122
d,89,7.808201469241727,76,97.63381631033309
h,15,85.12962953987133,9,53.567353594283816
h,1,51.90467600208666,20,26.836959305284914
u,68,59.693011097933116,78,70.91857077046741
o,3,67.22636876452054,77,80.05818662037406
m,69,76.37333399668206,7,3.6883506914696773
z,69,54.85452477991818,25,25.646215216296596
l,69,58.790949337588316,64,50.67882809534514
p,20,62.732233853775554,8,17.113308129771386
z,95,45.60402651222842,58,70.4250895518956
e,4,55.04839329928662,80,67.64600570218822
y,90,99.40383718215485,85,99.22213329020721
c,48,5.555183149572263,82,32.24041620939639
b,98,5.5714465755683396,92,97.22994466679943
a,13,11.340683878019453,5,51.627878195775224
p,17,51.43467593057943,61,6.092237568602233
z,48,38.34073983564837,2,56.01673934113529
h,100,5.352433347899577,42,91.85334948761552
m,25,3.1938210065222794,24,25.90393980699791
i,40,62.30785678266986,91,0.15951769026928408
u,3,66.2882142919388,95,50.988864978918436
v,16,30.189973097470258,18,27.97296265455149
a,24,98.81746562651963,89,81.19940812691435
d,54,83.10233191537078,59,69.07047895070603
z,79,97.65261534175484,42,14.94343233606983
o,39,13.95582237938202,9,62.62844699027371
n,37,33.438157061986715,71,4.591684989094413
r,60,50.64322573188185,83,33.48282657171184
r,66,9.107719026022998,98,87.38119426159317
b,25,84.84578196956582,99,66.18723203814912
n,38,87.61795721347528,55,12.895871317825879
q,8,50.81519862576604,7,30.76819005606065
x,84,78.82977322523745,2,81.06245711545314
l,5,52.96817615822078,32,18.399792077786604
b,86,71.38686232382184,86,56.12117661095329
a,83,33.543739961497764,77,93.10514275687997
z,18,31.070164966053714,97,45.049128571809426
j,44,76.40759034708834,92,66.10162760822809
y,60,85.59618242650996,4,11.360727103581903
e,43,9.827027056931914,24,19.39960521504087
g,22,8.908382204772881,73,24.68265044441584
n,44,89.29671133360972,22,58.708828729284
p,17,18.902687025772547,11,93.0600640608866
x,75,85.40815628212532,93,84.23789218420283
i,86,35.114738701626436,73,20.647569579173176
s,16,1.375624553319299,20,20.011284431678167
f,14,63.64213352089917,7,1.4680725139873285
o,55,75.77390178332794,67,37.26865671928786
k,79,59.6358433063089,78,85.52398283785415
b,73,87.37831086065755,16,79.63602256054773
d,60,19.308536014492905,91,74.50427541940576
z,64,63.23346964030663,52,70.25475681133074
q,26,15.217550882565966,5,49.12909013329865
u,40,39.437599829969095,76,70.51808519317194
v,27,70.51539386309214,18,86.69252249056932
h,60,52.49031229042064,34,70.79089256179819
m,83,41.37858103851318,16,53.96820099538069
p,100,10.598161350017532,45,71.02244688071993
n,23,95.10029149585489,92,54.43915283083487
f,85,92.23352628301582,97,34.75957882289238
k,39,68.48268245529938,8,89.31125226957136
a,26,83.67812232762218,37,64.0147583435399
h,39,4.572981154050904,28,76.26463814909576
l,6,38.82701944786648,37,1.5949961793023548
m,14,51.34013176492914,76,3.503195350452659
a,94,86.08321094349724,51,75.96622705539171
z,74,66.61117242541529,93,60.29048411503189
e,53,8.176349633611757,100,10.213444348668432
v,96,4.140935460251494,0,26.311438277840814
l,48,32.40826544047365,68,34.16644478245946
o,0,44.33966235322363,25,80.5551414208405
b,17,50.94312312266784,67,24.554883910852798
u,65,99.92832456971897,27,74.14532734585427
b,47,3.0379174218310934,77,43.27677974089026
g,85,13.202902956938189,38,32.08132147979256
g,21,28.18844921921607,56,69.19468479726103
f,12,97.40075716992453,10,62.5969994583639
r,37,98.63459169654438,100,0.5805570720198383
r,24,77.29549024844594,72,85.15430258277338
v,35,11.711029565841379,84,83.89559959239365
q,99,15.187421583388206,99,45.02172800903029
h,25,58.455795635582234,66,82.33688788891843
u,55,17.027776200743226,79,98.64583614808427
d,76,55.803708286823515,66,58.801486782528954
u,39,94.38613587768026,72,39.01041828896597
t,37,65.14730842969857,72,96.04670965504714
q,97,22.2507732403609,62,26.2057597652386
r,45,23.884390074854156,62,93.60517596125727
w,31,10.78107935046637,23,89.99742853099637
h,57,45.340649075178554,10,7.754733611474363
e,76,33.029403641365676,56,97.23085196169964
s,9,2.9925409818316373,68,73.29705623643534
v,92,46.818962063467204,82,7.935576598703886
n,21,93.55849391924839,8,37.15496142847432
z,16,9.23451525550545,10,58.191421584330335
y,99,42.00508584958722,50,50.70166924358907
c,7,36.17487266769637,79,35.88730929616389
i,0,70.1599693086439,15,51.52092161498574
d,38,56.62146534420604,28,86.75296650092949
f,30,10.791441386086142,46,96.77259693245584
o,55,98.5071527315656,67,76.69080349058164
g,80,70.74971522385835,96,56.50425865843004
j,28,84.92666626172847,27,8.620459695549243
u,65,94.71173377387345,47,38.123860209777675
k,54,18.172776997501906,62,16.153058666979902
c,56,53.69107402585664,59,83.7202933837457
y,12,87.27148330385867,14,3.41325634938785
p,63,56.57239210414819,33,22.053873963470828
k,67,53.234207722208424,46,53.80493529531821
z,74,76.91343166241322,54,40.94228429867559
m,44,90.38083738755493,9,68.96318504626082
e,52,75.4778951763399,4,64.91752695127178
j,44,74.95130285617898,23,27.75406374831
t,41,42.30092974996457,87,74.03325676177539
l,70,33.365467674390736,17,92.57811445519775
a,34,93.40204800796594,26,65.59376035984842
l,7,78.44172083136601,29,10.77498096410796
b,97,3.07778269467317,60,11.040750085171247
a,54,79.44386128842892,94,19.847097938675617
k,38,16.95503548172328,96,7.778659783068598
g,70,49.01088405970368,78,23.256830276215034
r,89,69.11970052109801,45,89.96211032092515
s,16,23.44342244234614,67,23.343016365801795
d,1,41.24157602652989,3,5.873678167007901
c,70,10.251614033639466,0,83.11110373484597
a,63,40.211958157323316,30,7.483003253973719
u,92,50.62302830252261,78,42.46950779901597
i,42,57.66646617934745,94,23.53133662843778
s,14,10.205441274448301,49,20.23368439864832
d,84,74.55423119446543,94,21.839223284547828
g,24,2.732189389698292,9,56.33986247472674
n,68,69.64791816062862,37,36.87798128032072
k,71,19.69785109653347,43,16.797986566900136
l,24,71.03561278932244,65,79.78671477649154
e,66,10.759278017641538,73,71.4371072405469
